cohort_month,cohort_index,customers,cohort_size,retention_rate
2010-10,13,87,375,0.232
2010-10,14,26,375,0.06933333333333333
2010-11,0,326,326,1.0
2010-11,1,57,326,0.17484662576687116
2010-11,2,31,326,0.0950920245398773
2010-11,3,31,326,0.0950920245398773
2010-11,4,25,326,0.07668711656441718
2010-11,5,29,326,0.08895705521472393
2010-11,6,42,326,0.12883435582822086
2010-11,7,33,326,0.10122699386503067
2010-11,8,28,326,0.08588957055214724
2010-11,9,30,326,0.09202453987730061
2010-11,10,36,326,0.11042944785276074
2010-11,11,48,326,0.147239263803681
2010-11,12,82,326,0.25153374233128833
2010-11,13,21,326,0.06441717791411043
2010-12,0,76,76,1.0
2010-12,1,7,76,0.09210526315789473
2010-12,2,4,76,0.05263157894736842
2010-12,3,7,76,0.09210526315789473
2010-12,4,9,76,0.11842105263157894
2010-12,5,5,76,0.06578947368421052
2010-12,6,4,76,0.05263157894736842
2010-12,7,7,76,0.09210526315789473
2010-12,8,4,76,0.05263157894736842
2010-12,9,2,76,0.02631578947368421
2010-12,10,7,76,0.09210526315789473
2010-12,11,15,76,0.19736842105263158
2010-12,12,2,76,0.02631578947368421
2011-01,0,72,72,1.0
2011-01,1,12,72,0.16666666666666666
2011-01,2,16,72,0.2222222222222222
2011-01,3,14,72,0.19444444444444445
2011-01,4,16,72,0.2222222222222222
2011-01,5,11,72,0.1527777777777778
2011-01,6,11,72,0.1527777777777778
2011-01,7,9,72,0.125
2011-01,8,8,72,0.1111111111111111
2011-01,9,15,72,0.20833333333333334
2011-01,10,18,72,0.25
2011-01,11,8,72,0.1111111111111111
2011-02,0,125,125,1.0
2011-02,1,20,125,0.16
2011-02,2,20,125,0.16
2011-02,3,23,125,0.184
2011-02,4,27,125,0.216
2011-02,5,20,125,0.16
2011-02,6,20,125,0.16
2011-02,7,19,125,0.152
2011-02,8,19,125,0.152
2011-02,9,23,125,0.184
2011-02,10,8,125,0.064
2011-03,0,179,179,1.0
2011-03,1,32,179,0.1787709497206704
2011-03,2,39,179,0.21787709497206703
2011-03,3,36,179,0.2011173184357542
2011-03,4,40,179,0.22346368715083798
2011-03,5,27,179,0.15083798882681565
2011-03,6,37,179,0.20670391061452514
2011-03,7,36,179,0.2011173184357542
2011-03,8,43,179,0.24022346368715083
2011-03,9,17,179,0.09497206703910614
2011-04,0,106,106,1.0
2011-04,1,26,106,0.24528301886792453
2011-04,2,21,106,0.19811320754716982
2011-04,3,21,106,0.19811320754716982
2011-04,4,19,106,0.1792452830188679
2011-04,5,25,106,0.2358490566037736
2011-04,6,19,106,0.1792452830188679
2011-04,7,27,106,0.25471698113207547
2011-04,8,12,106,0.11320754716981132
2011-05,0,111,111,1.0
2011-05,1,26,111,0.23423423423423423
2011-05,2,27,111,0.24324324324324326
2011-05,3,18,111,0.16216216216216217
2011-05,4,24,111,0.21621621621621623
2011-05,5,23,111,0.2072072072072072
2011-05,6,29,111,0.26126126126126126
2011-05,7,13,111,0.11711711711711711
2011-06,0,108,108,1.0
2011-06,1,25,108,0.23148148148148148
2011-06,2,23,108,0.21296296296296297
2011-06,3,29,108,0.26851851851851855
2011-06,4,22,108,0.2037037037037037
2011-06,5,30,108,0.2777777777777778
2011-06,6,9,108,0.08333333333333333
2011-07,0,101,101,1.0
2011-07,1,21,101,0.2079207920792079
2011-07,2,30,101,0.297029702970297
2011-07,3,28,101,0.27722772277227725
2011-07,4,35,101,0.3465346534653465
2011-07,5,16,101,0.15841584158415842
2011-08,0,107,107,1.0
2011-08,1,28,107,0.2616822429906542
2011-08,2,32,107,0.29906542056074764
2011-08,3,28,107,0.2616822429906542
2011-08,4,18,107,0.16822429906542055
2011-09,0,188,188,1.0
2011-09,1,51,188,0.2712765957446808
2011-09,2,71,188,0.3776595744680851
2011-09,3,28,188,0.14893617021276595
2011-10,0,221,221,1.0
2011-10,1,70,221,0.3167420814479638
2011-10,2,35,221,0.1583710407239819
2011-11,0,191,191,1.0
2011-11,1,27,191,0.14136125654450263
2011-12,0,28,28,1.0
